6.846363853066100846e-02,7.669185351754989610e-02,7.016869388900207061e-02,6.999480525006669673e-02,7.261586936404013093e-02,7.205555773552776988e-02,7.079753459950743899e-02,7.305316562211774944e-02,6.827826943604052568e-02,7.118447019592673286e-02
7.074095087436398088e-02,7.906833202550125894e-02,7.246800946620038375e-02,7.229189459249853178e-02,7.494563067481449514e-02,7.437857709756451330e-02,7.310487844676016866e-02,7.538812687654519729e-02,7.055276970332766129e-02,7.349657396679987187e-02
7.608291425285773624e-02,8.462181296584125878e-02,7.785714364692376821e-02,7.767625616445116010e-02,8.039989047991376314e-02,7.981846566220987538e-02,7.851122685590757044e-02,8.085346006914866102e-02,7.588857979041638280e-02,7.891308103187148759e-02
7.470510912073366483e-02,8.319220079988841332e-02,7.646775181056604531e-02,7.628803665892369690e-02,7.899452130254087934e-02,7.841661512313324867e-02,7.711760606387205175e-02,7.944538121608710202e-02,7.451230383359599974e-02,7.751697133267923534e-02
7.315755890115013815e-02,8.158420936071207608e-02,7.490671211682133068e-02,7.472836179097717968e-02,7.741486383662675441e-02,7.684106384965179448e-02,7.555164346887154048e-02,7.786256030447916143e-02,7.296651867615730480e-02,7.594810563921432223e-02
7.159256619246213982e-02,7.995561987532458226e-02,7.332755624207763778e-02,7.315063889233613947e-02,7.581614217685601897e-02,7.524666395546586450e-02,7.396731931819523764e-02,7.626050771965529884e-02,7.140336299719179936e-02,7.436072753448273731e-02
7.650476253143093097e-02,8.505915145260238563e-02,7.828246092447450899e-02,7.810122244640843592e-02,8.082998860756665516e-02,8.024751191189910537e-02,7.893781035793631662e-02,8.128436802809593797e-02,7.630996772991256727e-02,7.934040880634438131e-02
6.071356709153498399e-02,6.856078729762311863e-02,6.233462124296705598e-02,6.216923265269574256e-02,6.466523031595028392e-02,6.413083931039709196e-02,6.293281384458528083e-02,6.508251034046659556e-02,6.053867435877279685e-02,6.330147831368998501e-02
7.758560806811262700e-02,8.617890054218914353e-02,7.937202863375332484e-02,7.918990762496004587e-02,8.193157122327857089e-02,8.134645315213874517e-02,8.003056198623122175e-02,8.238798376222418451e-02,7.738965040941268858e-02,8.043502985978677466e-02
7.173905068752871317e-02,8.010816412277846355e-02,7.347538896926066043e-02,7.329833521050616030e-02,7.596583820185011382e-02,7.539594813611853741e-02,7.411564401040904304e-02,7.641052122539274127e-02,7.154967329542571974e-02,7.450934318806760881e-02
7.369627322616788268e-02,8.214423706649739976e-02,7.545017989076432952e-02,7.527134862686830907e-02,7.796489416063220879e-02,7.738964607513182381e-02,7.609684592715211526e-02,7.841370640923794877e-02,7.350461281091633103e-02,7.649433174160982785e-02
6.690431189423287628e-02,7.506138232553896672e-02,6.859362004637803434e-02,6.842132471683719241e-02,7.101898244694054840e-02,7.046350905119382058e-02,6.921671536546225578e-02,7.145254531772145257e-02,6.672093607777183910e-02,6.960023715133142885e-02
